description,units,source key,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01
Kansas : commercial,number of customers,ELEC.CUSTOMERS.KS-COM.M,226902,226987,227042,227154,227379,227766,229306,229280,229477,229835,229769,229934,232158,232423,232515,232442,232611,233259,232122,233063,233365,233576,233796,233721,231625,230703,231213,231186,231755,232567,232473,232212,232405,232785,233138,232775,233299,232450,232925,233205,234068,234263,234670,234786,234846,234862,234864,234890,234583,234570,234500,234490,234926,234956,235271,235443,235280,235823,236352,236627,235382,235432,236995,236012,235776,236233,236529,236613,236406,236916,237065,237738,243482,241375,244716,244548,244645,245099,244996,246163,245771,246119,246755,246826,244774,243980,245606,245048,245586,245649,245680,246098,245995,246085,246313,246107,248126,247620,248241,247923,248404,248623,248589,248591,248229,248398,249030,248655,248527,248552,248543,249045,249310
Kansas : industrial,number of customers,ELEC.CUSTOMERS.KS-IND.M,23783,23662,23789,24016,24221,24620,24686,24678,24483,24096,23965,23897,23396,23515,23421,23524,24127,24289,24230,24048,23768,23514,23509,23424,23993,23823,24043,24291,24668,24851,24827,24857,24365,24168,24062,23949,23842,23682,23756,23985,24731,24841,24836,24700,24238,23996,23876,23730,23841,23742,23750,23960,24441,24740,24946,24872,24594,24169,23926,23791,23784,23666,23863,23768,24133,24419,24561,24399,24264,23767,23555,23530,23284,22881,23811,23749,24192,24637,24408,24631,24430,23866,23896,23801,23699,23447,23845,23741,24240,24720,24758,24740,24435,24039,23845,23871,23961,23877,24090,24076,24794,24847,24791,24982,24653,24297,24127,24352,23937,23899,23847,24170,24721
Kansas : transportation,number of customers,ELEC.CUSTOMERS.KS-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas : other,number of customers,ELEC.CUSTOMERS.KS-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minnesota,number of customers,ELEC.CUSTOMERS.MN-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota : all sectors,number of customers,ELEC.CUSTOMERS.MN-ALL.M,2679843,2679876,2687233,2687475,2685377,2692601,2692732,2649412,2655391,2659093,2652692,2660595,2660709,2665563,2677827,2670607,2675091,2679797,2675956,2685634,2688243,2687861,2688859,2694837,2689513,2691169,2700932,2695472,2704175,2706703,2705522,2713409,2707382,2716506,2713793,2715523,2714665,2712230,2719326,2718138,2723433,2726201,2727721,2733088,2727385,2734319,2733758,2732541,2743785,2737104,2744212,2744895,2753742,2750689,2759111,2770191,2755635,2774149,2762048,2765591,2763787,2759516,2762504,2775935,2771285,2776658,2782555,2781453,2785784,2789428,2785554,2795424,2791169,2793266,2805740,2804414,2806967,2811847,2814717,2819695,2821569,2821793,2826433,2828071,2826054,2824322,2834744,2831862,2836857,2840697,2842212,2847453,2848110,2848290,2849749,2856524,2872655,2868847,2881086,2875090,2878304,2882099,2886532,2890411,2889333,2895503,2895263,2899680,2906739,2901745,2908468,2912855,2923383
Minnesota : residential,number of customers,ELEC.CUSTOMERS.MN-RES.M,2378904,2379476,2386022,2386313,2383585,2392075,2390298,2354707,2359444,2363043,2357405,2364817,2362343,2367539,2377765,2371263,2374875,2379562,2375854,2384632,2385907,2385566,2386597,2392239,2388848,2390871,2399584,2395160,2401950,2404838,2403607,2410495,2404959,2413814,2411131,2412743,2410478,2409068,2415033,2414122,2418258,2421297,2422289,2427132,2421829,2429030,2428362,2426956,2436628,2430452,2436625,2437181,2444184,2441956,2449117,2459917,2446044,2463561,2452206,2455419,2451847,2448875,2451433,2463443,2458845,2464448,2469176,2468328,2471973,2475857,2472130,2480619,2477409,2479815,2490647,2489191,2491287,2495886,2498328,2503256,2504585,2505736,2509617,2511087,2509170,2508738,2517900,2515449,2519388,2523443,2524144,2529215,2530002,2530521,2531558,2537749,2554129,2551328,2561967,2555967,2562936,2566602,2570555,2574176,2573259,2579383,2579271,2583172,2589845,2585677,2591853,2595572,2605037
Minnesota : commercial,number of customers,ELEC.CUSTOMERS.MN-COM.M,291170,290672,291404,291322,291895,290493,292449,284934,286138,286204,285623,286179,289403,289035,290991,290246,291244,291199,291142,291918,293329,293293,293362,293638,291798,291427,292371,291361,293123,292706,292832,293732,293312,293888,293983,293782,295058,294492,295558,294829,295976,295606,296183,296640,296334,296408,296671,296429,298521,298119,298964,298555,300352,299494,300733,300984,300353,301714,301128,300993,303256,301996,302352,303210,303223,302930,304059,303845,304502,304702,304755,305532,305032,304722,306297,305884,306354,306573,307008,306986,307533,307194,307986,307656,308007,306752,307953,307029,308024,307755,308621,308683,308617,308800,309287,309327,309481,308525,310095,309819,306005,306109,306572,306750,306653,306970,306954,307106,307787,306993,307539,307787,308861
Minnesota : industrial,number of customers,ELEC.CUSTOMERS.MN-IND.M,9768,9727,9806,9839,9896,10032,9984,9770,9808,9845,9663,9598,8962,8988,9070,9097,8971,9035,8959,9083,9006,9001,8899,8959,8866,8870,8976,8950,9101,9158,9082,9181,9110,8803,8678,8997,9128,8669,8734,9186,9198,9297,9248,9315,9221,8880,8724,9155,8635,8532,8622,9158,9205,9238,9260,9289,9237,8873,8713,9178,8683,8644,8718,9281,9216,9279,9319,9279,9308,8868,8668,9272,8727,8728,8795,9338,9325,9387,9380,9452,9450,8862,8829,9327,8876,8831,8890,9383,9444,9498,9446,9554,9490,8968,8903,9447,9044,8993,9023,9303,9362,9387,9404,9484,9420,9149,9037,9401,9106,9074,9075,9495,9484
Minnesota : transportation,number of customers,ELEC.CUSTOMERS.MN-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Minnesota : other,number of customers,ELEC.CUSTOMERS.MN-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Missouri,number of customers,ELEC.CUSTOMERS.MO-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri : all sectors,number of customers,ELEC.CUSTOMERS.MO-ALL.M,3110663,3115231,3117933,3114282,3115121,3116493,3118068,3120870,3121588,3118413,3123233,3128692,3128676,3134454,3134931,3133908,3136115,3138012,3134628,3144175,3142529,3141789,3142867,3147987,3149137,3153336,3153150,3160335,3156873,3159537,3154110,3166781,3167137,3167496,3169591,3173825,3172053,3172648,3176296,3179103,3184855,3185938,3190218,3191918,3188682,3191432,3193090,3194082,3195604,3202503,3203257,3201077,3203586,3204351,3208488,3210278,3208224,3211277,3212823,3219478,3207587,3211545,3214790,3214270,3217211,3224287,3242978,3245498,3246881,3249938,3249020,3258628,3252864,3254009,3259415,3257751,3264517,3265963,3276747,3273367,3269555,3219668,3328958,3281883,3276798,3278740,3281309,3288635,3287466,3287645,3279458,3309290,3294277,3301585,3290719,3315294,3253326,3258359,3265964,3254018,3262163,3264143,3269933,3271832,3296624,3240455,3231616,3244795,3263218,3271693,3277287,3279560,3283628
Missouri : residential,number of customers,ELEC.CUSTOMERS.MO-RES.M,2728100,2732778,2735074,2731172,2731390,2732528,2733694,2736346,2736786,2734048,2738761,2743904,2743237,2748236,2749012,2747838,2749439,2750915,2748032,2756174,2754966,2754446,2755123,2760097,2762116,2766025,2766731,2770135,2767968,2769236,2762939,2775377,2775988,2775978,2778326,2782619,2781047,2782752,2786754,2787749,2791934,2793047,2796532,2797683,2795307,2797073,2799370,2800160,2802407,2809050,2809797,2808024,2810299,2809280,2813164,2814486,2812461,2814440,2816210,2822742,2811493,2815119,2818579,2818207,2820707,2827120,2844025,2846817,2847824,2850491,2849099,2857426,2850076,2851392,2855721,2853872,2858905,2860730,2871415,2867646,2863261,2813422,2922232,2874448,2869359,2870981,2873219,2879357,2878177,2878637,2870178,2899860,2884378,2893474,2882670,2906742,2845163,2849988,2857952,2847349,2855322,2856550,2862025,2863305,2886741,2834229,2834016,2849473,2868669,2878508,2882249,2885292,2888499
Missouri : commercial,number of customers,ELEC.CUSTOMERS.MO-COM.M,372305,372197,372619,372880,373501,373753,374160,374324,374615,374186,374233,374619,375252,375979,375727,375889,376497,376916,376370,377842,377417,377220,377623,377782,378730,379073,378209,381935,380706,382116,383025,383243,382997,383378,383078,383092,382838,381778,381388,383253,384792,384826,385574,386169,385337,386317,385701,385907,383064,383309,383318,382900,383203,384990,385239,385686,385705,386766,386562,386684,385958,386257,386102,385944,386388,387059,388839,388618,388939,389383,389851,391077,392781,392509,393705,393899,395622,395284,395350,395748,396315,396276,396795,397447,397547,397851,398147,399312,399389,399126,399442,399588,400039,398275,398177,398685,398309,398515,398165,396877,396981,397786,398102,398659,400022,396780,388159,385887,384683,383380,385600,384842,385939
Missouri : industrial,number of customers,ELEC.CUSTOMERS.MO-IND.M,10257,10255,10239,10229,10229,10211,10213,10199,10186,10178,10238,10168,10186,10238,10191,10180,10177,10179,10224,10157,10144,10121,10119,10106,8289,8236,8208,8263,8197,8183,8144,8159,8150,8138,8185,8112,8166,8116,8152,8099,8127,8063,8110,8064,8036,8040,8017,8013,10131,10142,10140,10151,10082,10079,10083,10104,10056,10069,10049,10050,10134,10167,10107,10117,10114,10106,10112,10061,10116,10062,10068,10123,10005,10106,9987,9978,9988,9947,9980,9971,9977,9968,9929,9986,9890,9906,9941,9964,9898,9880,9836,9840,9858,9834,9870,9865,9852,9854,9845,9790,9858,9805,9804,9866,9859,9444,9439,9433,9864,9803,9436,9424,9188
Missouri : transportation,number of customers,ELEC.CUSTOMERS.MO-TRA.M,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Missouri : other,number of customers,ELEC.CUSTOMERS.MO-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nebraska,number of customers,ELEC.CUSTOMERS.NE-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska : all sectors,number of customers,ELEC.CUSTOMERS.NE-ALL.M,1029300,1029210,1032798,1033828,1033718,1037096,1038975,1039551,1041430,1041257,1038050,1040539,1036956,1039156,1044062,1041845,1044116,1046038,1044378,1049633,1050668,1049402,1048857,1050404,1044733,1044948,1050004,1047146,1058357,1059840,1059841,1062472,1059867,1059001,1057587,1062216,1061548,1056473,1058022,1064703,1067824,1066900,1068834,1072500,1068732,1065808,1065588,1070250,1064863,1061943,1063350,1070700,1075441,1072062,1076725,1074286,1075929,1075893,1070434,1077902,1072722,1071087,1073363,1084112,1082583,1085377,1089440,1088337,1089918,1083074,1081703,1092178,1078342,1079114,1083798,1091142,1090511,1093363,1094064,1097121,1098122,1089217,1090677,1097303,1088831,1088716,1092228,1097225,1100879,1103562,1103400,1107247,1106907,1100501,1100305,1108361,1118315,1117118,1121558,1122911,1125824,1128430,1129901,1131821,1130046,1128993,1128382,1133329,1132769,1131160,1132990,1140755,1144060
Nebraska : residential,number of customers,ELEC.CUSTOMERS.NE-RES.M,820877,821129,823909,824175,823376,825919,827479,827471,828923,828960,828277,830808,827415,829772,833070,830107,832879,834459,832937,836962,837666,837132,837405,838578,834081,834502,838318,835646,842243,844002,843891,845547,843576,847413,846963,847323,846484,846645,846780,847796,849578,848522,850205,852989,850006,852895,853708,853080,853417,851769,852325,853006,856151,853387,857055,854778,856479,861672,858089,859275,859766,858853,860390,863923,861987,864823,867687,866775,867970,867604,867550,870690,864051,865022,868309,868530,867231,869676,869489,872222,872374,871598,873431,873783,872012,872432,875045,873454,875604,877831,877300,880545,880941,881301,881772,883128,895495,895009,898637,896223,898367,900898,901730,903089,901961,904827,905381,905871,908467,907504,908846,911339,913996
Nebraska : commercial,number of customers,ELEC.CUSTOMERS.NE-COM.M,148746,148488,148871,149673,149962,149927,150454,150730,150975,150780,149489,149717,148346,147994,149042,149504,149896,149583,149925,150452,151203,150700,150506,150583,149582,149399,150022,149844,152698,151890,152402,152818,152564,152335,152098,152107,151836,152215,153289,153212,154446,153964,154391,155011,154669,154098,153988,153815,153570,152985,153293,153221,154643,153699,154566,153808,154102,154521,153641,153699,154387,153870,154145,154686,155468,155133,155984,155994,156284,155852,155549,155967,155498,155375,156377,156771,157507,157495,158315,158277,158540,157927,157976,157909,157404,157086,157625,157667,158835,158868,159546,159595,159187,159066,158906,158932,161807,161436,162025,161977,162381,162140,162724,162920,162756,162551,162187,162399,162973,162480,162877,163542,164242
Nebraska : industrial,number of customers,ELEC.CUSTOMERS.NE-IND.M,59677,59593,60018,59980,60380,61250,61042,61350,61532,61517,60284,60014,61195,61390,61950,62234,61341,61996,61516,62219,61799,61570,60946,61243,61070,61047,61664,61656,63416,63948,63548,64107,63727,59253,58526,62786,63228,57613,57953,63695,63800,64414,64238,64500,64057,58815,57892,63355,57876,57189,57732,64473,64647,64976,65104,65700,65348,59700,58704,64928,58569,58364,58828,65503,65128,65421,65769,65568,65664,59618,58604,65521,58793,58717,59112,65841,65773,66192,66260,66622,67208,59692,59270,65611,59415,59198,59558,66104,66440,66863,66554,67107,66779,60134,59627,66301,61013,60673,60896,64711,65076,65392,65447,65812,65329,61615,60814,65059,61329,61176,61267,65874,65822
Nebraska : transportation,number of customers,ELEC.CUSTOMERS.NE-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska : other,number of customers,ELEC.CUSTOMERS.NE-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Dakota,number of customers,ELEC.CUSTOMERS.ND-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota : all sectors,number of customers,ELEC.CUSTOMERS.ND-ALL.M,444581,445621,447148,447736,448296,450238,451083,452765,454334,455610,456134,456915,456122,456872,457880,458191,459660,460005,459998,461355,461896,461926,462485,462944,461507,461588,462623,462226,462643,462834,463454,464261,463988,464910,464801,465195,465623,465453,465921,465845,466518,466578,467066,467630,466962,467487,467800,467797,466076,466224,467114,466964,471462,471113,472037,470754,471979,473480,472533,472558,474773,474531,474686,471756,471697,472146,472872,472792,473099,473607,473292,473990,475240,475545,476593,476419,477085,477315,477755,478224,478449,478646,479114,479462,477763,476516,477594,476921,477782,478088,478378,479073,479287,479540,479759,480205,482363,479625,480492,480081,480641,481004,481320,481856,481903,482716,482871,483256,483762,483731,484304,484873,485547
North Dakota : residential,number of customers,ELEC.CUSTOMERS.ND-RES.M,366624,367583,368670,369330,369565,370830,371387,372921,373841,375017,375444,376820,375037,375786,376560,376624,377408,377628,377515,378679,379033,379069,379479,380039,378710,378767,379477,379259,379354,379473,380045,380727,380512,381433,381362,382081,381794,381737,382087,381957,382272,382466,382871,383309,382641,383197,383408,383366,381924,381709,382529,382261,385983,385705,386352,386421,386279,387689,386811,386784,389049,388860,388892,386230,386076,386464,387054,386985,387251,387716,387420,388057,389441,389863,390657,390486,391024,391139,391434,391867,392024,392342,392744,393030,392265,390982,391794,391190,391859,392177,392375,392952,393118,393423,393579,393926,395318,393524,394232,393834,394251,394512,394698,395166,395157,395951,396169,396395,396877,396879,397366,397735,398262
North Dakota : commercial,number of customers,ELEC.CUSTOMERS.ND-COM.M,70339,70451,70908,70780,71039,71006,71304,71440,71620,71680,71763,72199,72597,72624,72839,72902,73598,73697,73813,73976,74170,74155,74318,74184,74192,74215,74365,74252,74543,74594,74630,74742,74674,74730,74708,74684,74898,74847,74957,74928,75272,75113,75162,75301,75281,75284,75386,75337,75463,75838,75895,75915,76652,76562,76824,75533,76818,76960,76894,76896,76897,76831,76926,76584,76668,76715,76834,76827,76858,76948,76957,76942,76899,76787,77032,76950,77067,77169,77284,77328,77386,77352,77414,77407,76454,76493,76745,76615,76778,76737,76829,76916,76963,76972,77030,77053,77657,76890,77045,76984,77123,77204,77303,77369,77400,77444,77438,77473,77536,77464,77547,77676,77810
North Dakota : industrial,number of customers,ELEC.CUSTOMERS.ND-IND.M,7618,7587,7570,7626,7692,8402,8392,8404,8873,8913,8927,7896,8488,8462,8481,8665,8654,8680,8670,8700,8693,8702,8688,8721,8605,8606,8781,8715,8746,8767,8779,8792,8802,8747,8731,8430,8931,8869,8877,8960,8974,8999,9033,9020,9040,9006,9006,9094,8689,8677,8690,8788,8827,8846,8861,8800,8882,8831,8828,8878,8827,8840,8868,8942,8953,8967,8984,8980,8990,8943,8915,8991,8900,8895,8904,8983,8994,9007,9037,9029,9039,8952,8956,9025,9044,9041,9055,9116,9145,9174,9174,9205,9206,9145,9150,9226,9388,9211,9215,9263,9267,9288,9319,9321,9346,9321,9264,9388,9349,9388,9391,9462,9475
North Dakota : transportation,number of customers,ELEC.CUSTOMERS.ND-TRA.M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota : other,number of customers,ELEC.CUSTOMERS.ND-OTH.M,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Dakota,number of customers,ELEC.CUSTOMERS.SD-ALL.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota : all sectors,number of customers,ELEC.CUSTOMERS.SD-ALL.M,458772,459130,461895,460118,460991,461994,462520,463097,463654,463826,463363,464550,462920,463473,465195,465014,466112,467069,466522,468849,469050,468508,468802,469889,468051,468863,469726,469287,471577,472036,472041,473920,472990,474018,473646,474407,473660,473346,474442,474538,475893,476617,477082,478155,476869,477408,478097,477977,479446,478447,478936,479637,481075,481297,482498,481915,482487,484351,482778,483296,483264,482432,483231,484943,484693,486228,487278,487169,487552,487322,487179,489125,487495,487656,489737,490009,490648,492153,492383,493909,493806,493956,494543,495149,495442,495503,497375,497179,498692,500016,500241,501979,502405,501557,502494,503624,506305,505360,507853,506654,508625,509972,510978,512274,512304,513524,513863,514813,516269,515802,516880,517654,519488
South Dakota : residential,number of customers,ELEC.CUSTOMERS.SD-RES.M,385746,386150,388821,386920,387410,388194,388537,389095,389522,389780,389548,390769,389072,389744,391035,390631,391638,392213,391909,393724,393791,393606,393919,394929,393476,394442,395084,394658,396367,396722,396711,398168,397361,398496,398299,398946,398003,398048,398888,398911,399562,400278,400536,401438,400848,401658,401843,401747,402313,401421,402223,402316,403255,403310,404719,404237,404258,406195,404959,405374,405309,404963,405322,406695,406411,407695,408754,408453,408579,409049,408781,410297,409262,409613,411041,410948,411571,412734,412801,414120,414268,414430,415250,415827,415953,416052,417626,417377,418353,419502,419350,420848,421305,421300,421823,422789,424978,424860,426402,425651,427038,428210,428823,430006,430397,431423,431729,432794,433916,433548,434441,435048,436396
